sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10
-14.0,-228.0,44.0,-170.0,8.0,119.0,-237.0,-5.0,173.0,-360.0
-10.0,-117.0,-225.0,-211.0,0.0,149.0,-51.0,-46.0,188.0,-364.0
-83.0,39.0,-350.0,-320.0,1.0,150.0,138.0,55.0,154.0,-337.0
-60.0,223.0,-147.0,-442.0,6.0,121.0,241.0,12.0,132.0,-298.0
-27.0,373.0,145.0,-380.0,3.0,20.0,252.0,62.0,95.0,-269.0
-28.0,366.0,325.0,-190.0,-2.0,-18.0,244.0,155.0,141.0,-240.0
-112.0,220.0,444.0,-28.0,-3.0,36.0,249.0,48.0,145.0,-222.0
-116.0,84.0,327.0,134.0,5.0,43.0,182.0,-25.0,93.0,-212.0
-43.0,-65.0,37.0,179.0,21.0,187.0,-14.0,-238.0,36.0,-217.0
-29.0,-210.0,-396.0,246.0,19.0,232.0,-189.0,-295.0,-4.0,-213.0
-24.0,-263.0,-477.0,366.0,-3.0,187.0,-166.0,-376.0,7.0,-184.0
-109.0,-197.0,-264.0,302.0,-23.0,208.0,-7.0,-460.0,5.0,-190.0
-83.0,-71.0,-103.0,149.0,-35.0,89.0,170.0,-336.0,6.0,-187.0
-28.0,41.0,37.0,100.0,-41.0,-27.0,240.0,-253.0,-39.0,-166.0
27.0,156.0,102.0,160.0,-47.0,3.0,171.0,-79.0,-84.0,-148.0
20.0,273.0,-170.0,65.0,-56.0,109.0,-34.0,-64.0,-110.0,-120.0
-6.0,288.0,-614.0,-118.0,-57.0,119.0,-393.0,22.0,-156.0,-115.0
48.0,237.0,-692.0,-193.0,-49.0,154.0,-818.0,160.0,-151.0,-83.0
80.0,130.0,-438.0,-294.0,-50.0,348.0,-1079.0,169.0,-116.0,-75.0
73.0,8.0,-63.0,-261.0,-61.0,571.0,-973.0,271.0,-67.0,-84.0
35.0,-47.0,402.0,-139.0,-61.0,550.0,-541.0,339.0,-36.0,-43.0
83.0,-65.0,509.0,-143.0,-44.0,395.0,48.0,474.0,-19.0,-19.0
76.0,-45.0,6.0,-128.0,-22.0,389.0,507.0,495.0,17.0,-11.0
122.0,-9.0,-460.0,-13.0,-3.0,312.0,701.0,508.0,21.0,15.0
151.0,69.0,-897.0,48.0,11.0,166.0,621.0,439.0,-5.0,75.0
121.0,136.0,-1182.0,44.0,24.0,119.0,282.0,192.0,-35.0,101.0
122.0,244.0,-873.0,28.0,34.0,180.0,-56.0,114.0,-62.0,119.0
143.0,324.0,-163.0,-9.0,39.0,202.0,-219.0,-72.0,-96.0,168.0
182.0,259.0,512.0,86.0,36.0,110.0,-216.0,-223.0,-109.0,200.0
118.0,151.0,810.0,204.0,27.0,37.0,-91.0,-334.0,-69.0,215.0
106.0,64.0,865.0,100.0,12.0,65.0,71.0,-506.0,-23.0,217.0
64.0,-2.0,796.0,-89.0,0.0,116.0,252.0,-661.0,-61.0,242.0
43.0,-62.0,719.0,-232.0,-8.0,8.0,427.0,-811.0,-107.0,249.0
40.0,-8.0,532.0,-169.0,-10.0,-169.0,504.0,-689.0,-98.0,222.0
31.0,23.0,381.0,-116.0,4.0,-155.0,323.0,-539.0,-141.0,211.0
30.0,-81.0,379.0,-292.0,26.0,-62.0,-90.0,-216.0,-142.0,206.0
10.0,-196.0,230.0,-309.0,38.0,-77.0,-497.0,133.0,-91.0,201.0
13.0,-243.0,12.0,-289.0,39.0,-35.0,-758.0,327.0,-40.0,178.0
-49.0,-213.0,-310.0,-151.0,27.0,43.0,-921.0,624.0,33.0,148.0
-79.0,-87.0,-608.0,57.0,7.0,60.0,-987.0,635.0,56.0,135.0
-81.0,12.0,-743.0,169.0,-14.0,108.0,-863.0,606.0,86.0,105.0
-80.0,4.0,-641.0,357.0,-32.0,166.0,-521.0,369.0,156.0,42.0
-175.0,44.0,-330.0,361.0,-47.0,98.0,-73.0,46.0,235.0,-4.0
-202.0,28.0,-18.0,355.0,-53.0,-79.0,263.0,-48.0,277.0,-37.0
-144.0,-35.0,173.0,316.0,-52.0,-218.0,392.0,-293.0,300.0,-61.0
-169.0,-64.0,42.0,190.0,-44.0,-209.0,334.0,-256.0,344.0,-87.0
-152.0,-108.0,-214.0,93.0,-33.0,-115.0,155.0,-238.0,339.0,-106.0
-141.0,-81.0,-443.0,-8.0,-25.0,-41.0,-53.0,-293.0,309.0,-100.0
-88.0,-39.0,-558.0,-20.0,-22.0,5.0,-221.0,-264.0,296.0,-101.0
-59.0,-17.0,-521.0,-64.0,-19.0,-66.0,-210.0,-232.0,283.0,-100.0
-92.0,-36.0,-347.0,-166.0,-13.0,-87.0,-25.0,-84.0,197.0,-102.0
-117.0,-121.0,-6.0,-200.0,-14.0,-91.0,197.0,-169.0,114.0,-106.0
-91.0,-196.0,369.0,-71.0,-13.0,-217.0,291.0,-138.0,34.0,-123.0
-56.0,-272.0,648.0,-51.0,-17.0,-275.0,148.0,-131.0,-143.0,-114.0
-77.0,-247.0,744.0,-139.0,-30.0,-271.0,-128.0,-94.0,-164.0,-103.0
-43.0,-112.0,781.0,-83.0,-43.0,-179.0,-370.0,97.0,-171.0,-130.0
18.0,-28.0,564.0,3.0,-61.0,-122.0,-467.0,151.0,-223.0,-141.0
66.0,34.0,185.0,-10.0,-64.0,-201.0,-414.0,223.0,-236.0,-160.0
90.0,86.0,-193.0,-52.0,-44.0,-260.0,-264.0,-11.0,-371.0,-172.0
81.0,181.0,-596.0,-6.0,-10.0,-184.0,-98.0,-214.0,-398.0,-202.0
84.0,236.0,-625.0,51.0,21.0,-142.0,20.0,-415.0,-423.0,-216.0
66.0,143.0,-396.0,106.0,30.0,-181.0,52.0,-663.0,-370.0,-226.0
48.0,151.0,-232.0,35.0,15.0,-137.0,32.0,-624.0,-238.0,-261.0
82.0,147.0,-186.0,-10.0,-3.0,-116.0,60.0,-737.0,-204.0,-265.0
111.0,-5.0,-118.0,69.0,-10.0,-93.0,88.0,-661.0,-77.0,-267.0
141.0,-160.0,-123.0,71.0,1.0,-181.0,95.0,-467.0,-100.0,-271.0
113.0,-181.0,-283.0,124.0,20.0,-346.0,46.0,-218.0,-82.0,-303.0
62.0,-103.0,-387.0,90.0,42.0,-360.0,-85.0,195.0,-8.0,-316.0
67.0,-89.0,-438.0,-91.0,60.0,-265.0,-184.0,421.0,-30.0,-291.0
80.0,-49.0,-398.0,-179.0,73.0,-150.0,-259.0,604.0,-5.0,-279.0
81.0,-20.0,-322.0,-164.0,83.0,-129.0,-344.0,482.0,-28.0,-298.0
31.0,22.0,-182.0,-223.0,87.0,-88.0,-417.0,260.0,40.0,-309.0
45.0,92.0,-29.0,-318.0,89.0,-33.0,-485.0,38.0,54.0,-278.0
83.0,47.0,89.0,-251.0,84.0,-70.0,-512.0,-225.0,49.0,-278.0
54.0,-51.0,104.0,-183.0,79.0,-55.0,-448.0,-319.0,122.0,-286.0
50.0,-79.0,-9.0,-86.0,76.0,60.0,-326.0,-413.0,160.0,-264.0
55.0,5.0,-20.0,-82.0,56.0,23.0,-182.0,-267.0,178.0,-246.0
86.0,83.0,-74.0,-180.0,22.0,-240.0,15.0,-230.0,138.0,-252.0
91.0,75.0,-199.0,-114.0,-15.0,-378.0,255.0,-312.0,104.0,-263.0
27.0,101.0,-322.0,-33.0,-50.0,-263.0,420.0,-380.0,48.0,-245.0
2.0,228.0,-443.0,-86.0,-72.0,-79.0,430.0,-526.0,46.0,-197.0
11.0,309.0,-527.0,-245.0,-70.0,-8.0,341.0,-436.0,37.0,-192.0
5.0,292.0,-486.0,-334.0,-55.0,-43.0,238.0,-471.0,7.0,-193.0
15.0,254.0,-343.0,-412.0,-39.0,-36.0,146.0,-352.0,66.0,-134.0
43.0,250.0,-197.0,-377.0,-27.0,-48.0,26.0,-184.0,66.0,-110.0
43.0,171.0,0.0,-295.0,-24.0,-108.0,-108.0,-72.0,78.0,-117.0
-13.0,-18.0,132.0,-262.0,-17.0,-173.0,-175.0,199.0,80.0,-109.0
-100.0,-137.0,291.0,-245.0,-3.0,-302.0,-180.0,210.0,44.0,-77.0
-127.0,-115.0,436.0,-400.0,2.0,-419.0,-160.0,247.0,18.0,-67.0
-112.0,-117.0,525.0,-540.0,-8.0,-482.0,-121.0,103.0,6.0,-95.0
-110.0,-144.0,561.0,-518.0,-23.0,-457.0,-63.0,-105.0,108.0,-82.0
-98.0,-47.0,347.0,-331.0,-34.0,-411.0,-10.0,-245.0,107.0,-56.0
-64.0,0.0,16.0,-107.0,-45.0,-455.0,-84.0,-487.0,43.0,-56.0
15.0,0.0,-297.0,54.0,-55.0,-436.0,-319.0,-491.0,40.0,-51.0
45.0,-1.0,-634.0,46.0,-75.0,-344.0,-574.0,-539.0,-41.0,-3.0
-26.0,2.0,-845.0,6.0,-95.0,-261.0,-696.0,-537.0,-17.0,31.0
-79.0,7.0,-837.0,45.0,-105.0,-227.0,-648.0,-556.0,41.0,0.0
-113.0,17.0,-747.0,169.0,-103.0,-146.0,-458.0,-467.0,24.0,14.0
-142.0,-21.0,-510.0,321.0,-90.0,-89.0,-195.0,-279.0,29.0,82.0
-153.0,-72.0,-203.0,276.0,-76.0,-137.0,30.0,-351.0,0.0,70.0
-171.0,-30.0,-84.0,201.0,-59.0,-68.0,150.0,-323.0,-44.0,39.0
-170.0,-81.0,-68.0,284.0,-35.0,-65.0,112.0,-400.0,-97.0,73.0
-150.0,14.0,-25.0,401.0,-10.0,-111.0,5.0,-413.0,-166.0,98.0
-145.0,89.0,18.0,281.0,22.0,-77.0,-88.0,-358.0,-161.0,77.0
-143.0,16.0,134.0,113.0,54.0,-88.0,-156.0,-402.0,-137.0,80.0
-140.0,73.0,388.0,103.0,66.0,-60.0,-185.0,-351.0,-207.0,120.0
-158.0,167.0,629.0,193.0,64.0,-52.0,-244.0,-330.0,-211.0,114.0
-170.0,134.0,731.0,164.0,72.0,-97.0,-282.0,-179.0,-176.0,89.0
-164.0,-26.0,718.0,50.0,94.0,-176.0,-253.0,-194.0,-168.0,109.0
-133.0,0.0,621.0,59.0,113.0,-154.0,-178.0,-120.0,-102.0,158.0
-106.0,38.0,441.0,10.0,109.0,-73.0,-109.0,11.0,-56.0,142.0
-113.0,-47.0,300.0,37.0,81.0,-104.0,-97.0,-214.0,-22.0,90.0
-146.0,-32.0,110.0,0.0,49.0,-101.0,-42.0,-430.0,-13.0,127.0
-162.0,26.0,-98.0,-173.0,25.0,-104.0,76.0,-807.0,29.0,142.0
-134.0,3.0,-131.0,-95.0,8.0,-154.0,119.0,-1079.0,35.0,101.0
-123.0,-77.0,-157.0,26.0,0.0,-165.0,17.0,-1199.0,3.0,71.0
-113.0,-140.0,-137.0,101.0,-9.0,-91.0,-143.0,-1090.0,-11.0,65.0
-146.0,-148.0,-93.0,207.0,-18.0,-41.0,-243.0,-672.0,-88.0,41.0
-139.0,-129.0,-147.0,148.0,-19.0,-134.0,-264.0,-404.0,-84.0,-26.0
-89.0,-113.0,-174.0,69.0,-18.0,-264.0,-152.0,-20.0,-127.0,-51.0
-111.0,-63.0,-128.0,38.0,-32.0,-229.0,87.0,203.0,-155.0,-60.0
-123.0,-84.0,8.0,-78.0,-55.0,-89.0,341.0,254.0,-122.0,-108.0
-149.0,-109.0,50.0,-238.0,-69.0,-110.0,519.0,197.0,-185.0,-157.0
-150.0,-117.0,-154.0,-380.0,-74.0,-196.0,490.0,-112.0,-267.0,-177.0
-137.0,-8.0,-319.0,-376.0,-64.0,-250.0,314.0,-275.0,-367.0,-175.0
-125.0,86.0,-367.0,-351.0,-44.0,-237.0,74.0,-482.0,-353.0,-175.0
-136.0,-31.0,-400.0,-404.0,-35.0,-247.0,-76.0,-552.0,-281.0,-208.0
-134.0,15.0,-282.0,-484.0,-32.0,-331.0,-38.0,-541.0,-222.0,-219.0
-110.0,61.0,2.0,-550.0,-28.0,-380.0,-37.0,-552.0,-194.0,-203.0
-139.0,-15.0,305.0,-486.0,-22.0,-403.0,-100.0,-487.0,-255.0,-214.0
-139.0,-98.0,471.0,-404.0,-15.0,-381.0,-155.0,-461.0,-211.0,-194.0
-150.0,-144.0,463.0,-237.0,-3.0,-330.0,-171.0,-323.0,-127.0,-152.0
-142.0,-4.0,348.0,-141.0,11.0,-256.0,-141.0,-347.0,-119.0,-129.0
-123.0,186.0,89.0,-100.0,21.0,-336.0,-127.0,-280.0,-95.0,-106.0
-105.0,343.0,-155.0,104.0,13.0,-402.0,-160.0,-312.0,-84.0,-29.0
-91.0,370.0,-231.0,116.0,-7.0,-278.0,-250.0,-545.0,-76.0,45.0
-82.0,298.0,-306.0,89.0,-23.0,-164.0,-309.0,-580.0,-58.0,77.0
-58.0,241.0,-244.0,116.0,-30.0,-125.0,-330.0,-670.0,-73.0,136.0
-50.0,149.0,-194.0,224.0,-22.0,-191.0,-311.0,-474.0,-69.0,204.0
-35.0,26.0,-173.0,378.0,-4.0,-153.0,-225.0,-308.0,-92.0,273.0
-21.0,-82.0,13.0,278.0,1.0,-141.0,-93.0,-179.0,-142.0,321.0
-35.0,-184.0,114.0,93.0,-1.0,-169.0,15.0,1.0,-140.0,374.0
-105.0,-155.0,342.0,-73.0,-14.0,-127.0,54.0,-147.0,-170.0,412.0
-98.0,-70.0,452.0,-132.0,-22.0,-127.0,90.0,-225.0,-218.0,413.0
-79.0,-146.0,359.0,-143.0,-19.0,-49.0,124.0,-428.0,-208.0,451.0
-95.0,-208.0,119.0,-34.0,-17.0,6.0,135.0,-524.0,-243.0,486.0
-103.0,-276.0,-387.0,231.0,-12.0,-22.0,70.0,-521.0,-242.0,472.0
-104.0,-334.0,-751.0,360.0,-9.0,-58.0,-43.0,-598.0,-201.0,406.0
-62.0,-290.0,-867.0,359.0,-2.0,-56.0,-112.0,-554.0,-254.0,388.0
-102.0,-215.0,-501.0,364.0,9.0,-35.0,-125.0,-657.0,-274.0,387.0
-172.0,-93.0,13.0,285.0,19.0,-9.0,-77.0,-574.0,-278.0,304.0
-220.0,41.0,454.0,155.0,23.0,22.0,-26.0,-432.0,-263.0,236.0
-207.0,65.0,766.0,159.0,18.0,-58.0,40.0,-336.0,-228.0,213.0
-204.0,-20.0,643.0,173.0,20.0,-185.0,132.0,-179.0,-217.0,185.0
-257.0,-15.0,437.0,112.0,27.0,-114.0,141.0,-49.0,-148.0,127.0
-257.0,1.0,147.0,5.0,29.0,129.0,81.0,60.0,-120.0,82.0
-212.0,-56.0,-181.0,-19.0,15.0,224.0,6.0,-107.0,-133.0,36.0
-159.0,-175.0,-367.0,-115.0,-3.0,177.0,-19.0,-90.0,-171.0,-30.0
-180.0,-273.0,-321.0,-246.0,-18.0,112.0,52.0,-123.0,-214.0,-63.0
-184.0,-270.0,-61.0,-268.0,-27.0,64.0,58.0,-314.0,-170.0,-85.0
-133.0,-169.0,217.0,-349.0,-27.0,28.0,-74.0,-262.0,-121.0,-127.0
-124.0,-30.0,520.0,-349.0,-31.0,-4.0,-185.0,-450.0,-113.0,-204.0
-127.0,-67.0,643.0,-210.0,-30.0,56.0,-180.0,-552.0,-76.0,-246.0
-110.0,-56.0,365.0,-27.0,-22.0,-10.0,-98.0,-596.0,-87.0,-243.0
-69.0,44.0,84.0,26.0,-9.0,-141.0,-65.0,-563.0,-137.0,-288.0
-31.0,68.0,-75.0,60.0,3.0,-96.0,-116.0,-384.0,-86.0,-313.0
-51.0,47.0,-318.0,33.0,2.0,-16.0,-153.0,-362.0,-101.0,-328.0
-72.0,19.0,-340.0,-24.0,-8.0,-16.0,-153.0,-181.0,-80.0,-352.0
-57.0,5.0,-318.0,30.0,-22.0,-99.0,-129.0,-173.0,9.0,-333.0
-41.0,-97.0,-245.0,91.0,-25.0,-103.0,-40.0,-199.0,11.0,-327.0
-60.0,-132.0,-80.0,169.0,-22.0,-39.0,151.0,-199.0,41.0,-333.0
-57.0,-51.0,-136.0,119.0,-19.0,-34.0,375.0,-243.0,87.0,-356.0
-25.0,50.0,-308.0,68.0,-20.0,-73.0,552.0,-267.0,126.0,-364.0
-51.0,21.0,-307.0,-138.0,-30.0,-42.0,589.0,-456.0,121.0,-342.0
-73.0,-92.0,-174.0,-315.0,-39.0,95.0,437.0,-434.0,117.0,-352.0
-60.0,-59.0,-222.0,-247.0,-49.0,133.0,222.0,-450.0,102.0,-347.0
-19.0,32.0,-59.0,-349.0,-54.0,53.0,7.0,-306.0,78.0,-317.0
-22.0,148.0,207.0,-432.0,-46.0,-52.0,-210.0,-14.0,47.0,-298.0
-23.0,218.0,267.0,-430.0,-29.0,-104.0,-420.0,134.0,-23.0,-279.0
22.0,255.0,238.0,-334.0,-9.0,-167.0,-495.0,249.0,-111.0,-260.0
49.0,357.0,170.0,-223.0,9.0,-269.0,-384.0,166.0,-221.0,-212.0
67.0,423.0,-48.0,-210.0,22.0,-285.0,-204.0,194.0,-208.0,-187.0
74.0,397.0,-509.0,-120.0,14.0,-333.0,21.0,-27.0,-164.0,-176.0
106.0,272.0,-683.0,-123.0,-9.0,-258.0,216.0,-218.0,-110.0,-132.0
118.0,150.0,-620.0,-70.0,-32.0,-123.0,350.0,-214.0,-73.0,-106.0
116.0,45.0,-429.0,95.0,-40.0,-14.0,384.0,-443.0,-93.0,-94.0
106.0,-154.0,4.0,242.0,-34.0,114.0,271.0,-482.0,-97.0,-75.0
93.0,-320.0,362.0,271.0,-27.0,49.0,37.0,-611.0,-110.0,-49.0
106.0,-345.0,332.0,94.0,-9.0,-6.0,-206.0,-644.0,-82.0,-50.0
86.0,-191.0,159.0,-44.0,9.0,20.0,-285.0,-537.0,-100.0,-52.0
34.0,-94.0,5.0,-138.0,23.0,39.0,-266.0,-471.0,-72.0,-4.0
0.0,-179.0,-418.0,-65.0,33.0,13.0,-215.0,-177.0,-27.0,16.0
31.0,-193.0,-751.0,45.0,35.0,-60.0,-150.0,-40.0,-65.0,6.0
55.0,-160.0,-746.0,-9.0,34.0,-110.0,-59.0,90.0,-94.0,25.0
20.0,-120.0,-548.0,-46.0,28.0,-72.0,39.0,160.0,-103.0,60.0
-36.0,-89.0,-238.0,-138.0,16.0,18.0,59.0,162.0,-89.0,69.0
-35.0,-46.0,207.0,-194.0,4.0,97.0,92.0,153.0,-32.0,75.0
-11.0,-57.0,507.0,-118.0,0.0,135.0,118.0,70.0,56.0,82.0
-50.0,-79.0,410.0,-41.0,0.0,88.0,89.0,203.0,88.0,80.0
-69.0,-12.0,95.0,-103.0,3.0,146.0,9.0,151.0,127.0,70.0
-69.0,-4.0,-192.0,-126.0,4.0,219.0,-164.0,127.0,179.0,67.0
-10.0,18.0,-252.0,10.0,-4.0,183.0,-321.0,138.0,135.0,76.0
33.0,98.0,-145.0,55.0,-9.0,166.0,-403.0,7.0,71.0,44.0
37.0,132.0,174.0,69.0,-2.0,194.0,-430.0,3.0,40.0,5.0
48.0,68.0,450.0,27.0,6.0,207.0,-353.0,-38.0,-22.0,-18.0
52.0,12.0,548.0,-90.0,-11.0,123.0,-180.0,5.0,-102.0,-22.0
65.0,-37.0,382.0,-132.0,-44.0,-17.0,69.0,-83.0,-155.0,-31.0
44.0,-140.0,114.0,-101.0,-67.0,-79.0,317.0,-18.0,-170.0,-99.0
56.0,-328.0,26.0,-3.0,-80.0,-131.0,428.0,70.0,-167.0,-129.0
71.0,-471.0,-200.0,91.0,-92.0,-219.0,405.0,-46.0,-143.0,-111.0
71.0,-581.0,-452.0,72.0,-101.0,-213.0,298.0,109.0,-130.0,-144.0
103.0,-716.0,-568.0,-71.0,-94.0,-173.0,136.0,96.0,-146.0,-189.0
117.0,-636.0,-578.0,-93.0,-73.0,-111.0,-7.0,164.0,-150.0,-200.0
91.0,-570.0,-506.0,40.0,-48.0,-22.0,-70.0,334.0,-219.0,-212.0
75.0,-457.0,-116.0,10.0,-28.0,62.0,-34.0,397.0,-282.0,-243.0
84.0,-292.0,293.0,-11.0,-18.0,154.0,92.0,343.0,-264.0,-258.0
89.0,-171.0,455.0,41.0,-7.0,164.0,230.0,90.0,-192.0,-242.0
93.0,44.0,584.0,68.0,12.0,106.0,305.0,44.0,-141.0,-261.0
45.0,143.0,606.0,184.0,29.0,39.0,303.0,-195.0,-144.0,-276.0
26.0,172.0,533.0,217.0,33.0,-52.0,244.0,-388.0,-123.0,-230.0
13.0,208.0,224.0,256.0,27.0,-146.0,178.0,-424.0,-84.0,-201.0
-16.0,245.0,34.0,209.0,9.0,-191.0,105.0,-567.0,5.0,-223.0
-36.0,200.0,-8.0,207.0,1.0,-47.0,2.0,-437.0,22.0,-240.0
-44.0,-14.0,-128.0,384.0,10.0,110.0,-80.0,-336.0,-20.0,-213.0
11.0,-115.0,-188.0,332.0,28.0,67.0,-79.0,-210.0,0.0,-198.0
34.0,36.0,-107.0,227.0,50.0,64.0,-94.0,-190.0,20.0,-238.0
-20.0,86.0,-82.0,128.0,64.0,65.0,-157.0,-260.0,82.0,-280.0
-44.0,124.0,-234.0,26.0,65.0,87.0,-211.0,-182.0,137.0,-285.0
-29.0,300.0,-165.0,-7.0,52.0,112.0,-228.0,-145.0,138.0,-302.0
-114.0,408.0,-7.0,-89.0,38.0,104.0,-88.0,3.0,202.0,-331.0
-163.0,427.0,194.0,-123.0,22.0,96.0,194.0,55.0,287.0,-324.0
-163.0,253.0,275.0,3.0,9.0,-25.0,435.0,194.0,323.0,-336.0
-151.0,181.0,100.0,47.0,8.0,-87.0,491.0,330.0,361.0,-374.0
-107.0,282.0,-97.0,103.0,10.0,-67.0,369.0,376.0,334.0,-370.0
-137.0,333.0,-251.0,186.0,19.0,2.0,180.0,552.0,259.0,-325.0
-123.0,283.0,-389.0,-5.0,29.0,6.0,33.0,526.0,168.0,-301.0
-158.0,205.0,-181.0,32.0,35.0,32.0,-9.0,509.0,80.0,-320.0
-194.0,202.0,240.0,250.0,36.0,173.0,44.0,349.0,-8.0,-294.0
-182.0,126.0,282.0,287.0,25.0,135.0,135.0,260.0,-102.0,-216.0
-169.0,58.0,229.0,329.0,1.0,-61.0,151.0,254.0,-75.0,-189.0
-109.0,-48.0,15.0,290.0,-23.0,-161.0,71.0,177.0,-44.0,-179.0
-96.0,-162.0,-210.0,156.0,-34.0,-143.0,16.0,391.0,-25.0,-133.0
-80.0,-189.0,-372.0,26.0,-31.0,-99.0,109.0,460.0,49.0,-108.0
-98.0,-290.0,-259.0,-40.0,-18.0,-27.0,312.0,600.0,41.0,-126.0
-98.0,-314.0,0.0,-16.0,-5.0,-9.0,477.0,683.0,16.0,-105.0
-107.0,-172.0,-55.0,-67.0,-4.0,52.0,540.0,572.0,-13.0,-50.0
-113.0,-131.0,229.0,-214.0,-5.0,98.0,532.0,497.0,-69.0,-58.0
-64.0,-126.0,272.0,-286.0,0.0,62.0,458.0,192.0,-95.0,-68.0
-60.0,-87.0,-21.0,-301.0,9.0,14.0,248.0,-81.0,-80.0,-31.0
-48.0,-113.0,-325.0,-338.0,22.0,-10.0,-26.0,-391.0,-27.0,11.0
-22.0,-57.0,-589.0,-311.0,19.0,-48.0,-205.0,-528.0,-20.0,29.0
6.0,9.0,-590.0,-198.0,-2.0,-143.0,-206.0,-415.0,-26.0,44.0
-20.0,-69.0,-327.0,-100.0,-23.0,31.0,-28.0,-334.0,-33.0,109.0
-68.0,-171.0,312.0,-176.0,-27.0,181.0,176.0,-192.0,-4.0,129.0
-89.0,-153.0,672.0,-277.0,-16.0,113.0,327.0,-72.0,93.0,128.0
-81.0,-247.0,741.0,-166.0,-1.0,73.0,468.0,92.0,106.0,180.0
-49.0,-429.0,468.0,-96.0,3.0,142.0,548.0,177.0,38.0,224.0
-55.0,-380.0,-62.0,-32.0,-4.0,225.0,487.0,245.0,-35.0,231.0
-75.0,-250.0,-468.0,-14.0,-4.0,105.0,313.0,291.0,-74.0,213.0
-103.0,-279.0,-699.0,-88.0,2.0,105.0,56.0,260.0,-90.0,250.0
-97.0,-287.0,-641.0,-72.0,7.0,177.0,-201.0,334.0,-76.0,272.0
-127.0,-48.0,-347.0,-124.0,0.0,234.0,-394.0,216.0,-38.0,250.0
-140.0,189.0,-4.0,-135.0,-8.0,277.0,-528.0,118.0,-79.0,282.0
